Date;Albert Heijn;Dirk;Jumbo
2020/08/25;10.99;9.99;16.69
2020/08/25;10.99;9.99;16.69
2020/08/25;10.99;9.99;16.69
2020/08/25;10.99;9.99;16.69
2020/08/26;10.99;9.99;16.69
2020/09/01;16.99;15.95;16.69
2020/09/02;16.99;15.95;16.69
2020/09/05;16.99;15.95;16.69
2020/09/09;9.99;15.95;16.69
2020/09/10;9.99;15.95;16.69
2020/09/16;16.99;9.99;16.69
2020/09/17;16.99;9.99;16.69
2020/09/18;16.99;9.99;16.69
2020/09/21;16.99;15.95;16.69
2020/09/22;16.99;15.95;16.69
2020/09/23;16.99;15.95;16.69
2020/09/24;16.99;15.95;16.69
2020/09/25;16.99;15.95;16.69
2020/09/26;16.99;15.95;16.69
2020/09/27;16.99;15.95;16.69
2020/09/28;10.99;15.95;16.69
2020/09/29;10.99;15.95;16.69
2020/09/30;10.99;15.95;16.69
2020/10/01;10.99;15.95;16.69
2020/10/02;10.99;15.95;16.69
2020/10/03;10.99;15.95;16.69
2020/10/04;10.99;9.99;16.69
2020/10/05;16.99;9.99;16.69
2020/10/06;16.99;9.99;16.69
2020/10/12;16.99;15.95;16.69
2020/10/13;16.99;15.95;16.69
2020/10/14;16.99;15.95;16.69
2020/10/15;16.99;15.95;16.69
2020/10/16;16.99;15.95;16.69
2020/10/17;16.99;15.95;16.69
2020/10/18;16.99;15.95;16.69
2020/10/19;9.99;15.95;16.69
2020/10/20;9.99;15.95;16.69
2020/10/21;9.99;15.95;16.69
2020/10/22;9.99;15.95;16.69
2020/10/23;9.99;15.95;16.69
2020/10/24;9.99;15.95;16.69
2020/10/25;9.99;15.95;16.69
2020/10/26;16.99;15.95;16.69
2020/10/28;16.99;15.95;16.69
2020/10/29;16.99;15.95;16.69
2020/10/30;16.99;15.95;16.69
2020/10/31;16.99;15.95;16.69
2020/11/01;16.99;9.99;16.69
2020/11/02;16.99;9.99;16.69
2020/11/03;16.99;9.99;16.69
2020/11/04;16.99;9.99;16.69
2020/11/05;16.99;9.99;16.69
2020/11/06;16.99;9.99;16.69
2020/11/07;16.99;9.99;16.69
2020/11/08;16.99;nan;16.69
2020/11/09;9.99;nan;16.69
2020/11/12;9.99;16.49;16.69
2020/11/13;9.99;16.49;16.69
2020/11/14;9.99;16.49;16.69
2020/11/15;9.99;16.49;16.69
2020/11/16;16.99;16.49;16.69
2020/11/17;16.99;16.49;16.69
2020/11/18;16.99;16.49;16.69
2020/11/19;16.99;16.49;16.69
2020/11/20;16.99;16.49;16.69
2020/11/21;16.99;16.49;16.69
2020/11/22;16.99;16.49;16.69
2020/11/23;16.99;16.49;16.69
2020/11/25;16.99;16.49;16.69
2020/11/26;16.99;16.49;16.69
2020/11/27;16.99;16.49;16.69
2020/11/30;16.99;9.99;16.69
2020/12/01;16.99;9.99;16.69
2020/12/02;16.99;9.99;16.69
2020/12/03;16.99;9.99;16.69
2020/12/04;16.99;9.99;16.69
2020/12/05;16.99;9.99;16.69
2020/12/06;16.99;16.49;16.69
2020/12/07;9.99;16.49;16.69
2020/12/08;9.99;16.49;16.69
2020/12/09;9.99;16.49;16.69
2020/12/10;9.99;16.49;16.69
2020/12/11;9.99;16.49;16.69
2020/12/13;16.99;59.99;16.69
2020/12/14;16.99;59.99;16.69
2020/12/15;16.99;16.49;16.69
2020/12/16;16.99;16.49;16.69
2020/12/17;16.99;16.49;16.69
2020/12/18;16.99;16.49;16.69
2020/12/19;16.99;16.49;16.69
2020/12/20;16.99;8.79;16.69
2020/12/21;8.99;8.79;16.69
2020/12/22;8.99;8.79;16.69
2020/12/23;8.99;8.79;16.69
2020/12/25;8.99;8.79;16.69
2020/12/26;8.99;8.79;16.69
2020/12/27;16.99;16.49;16.69
2020/12/28;16.99;16.49;16.69
2020/12/29;16.99;16.49;16.69
2020/12/30;16.99;16.49;16.69
2020/12/31;16.99;16.49;16.69
2021/01/01;16.99;16.49;16.69
2021/01/03;16.99;16.49;16.69
2021/01/04;16.99;16.49;16.69
2021/01/05;16.99;16.49;16.69
2021/01/06;16.99;16.49;17.29
2021/01/07;16.99;16.49;17.29
2021/01/08;16.99;16.49;17.29
2021/01/09;16.99;16.49;17.29
2021/01/10;16.99;16.49;17.29
2021/01/11;10.99;16.49;17.29
2021/01/12;10.99;16.49;17.29
2021/01/13;10.99;16.49;17.29
2021/01/14;10.99;nan;17.29
2021/01/15;10.99;16.79;17.29
2021/01/16;10.99;16.79;17.29
2021/01/19;17.29;16.79;17.29
2021/01/20;17.29;16.79;17.29
2021/01/21;17.29;16.79;17.29
2021/01/22;17.29;16.79;17.29
2021/01/23;17.29;16.79;16.99
2021/01/24;17.29;9.89;16.99
2021/01/25;17.29;9.89;16.99
2021/01/26;17.29;9.89;16.99
2021/01/27;17.29;9.89;16.99
2021/01/28;17.29;9.89;16.99
2021/01/29;17.29;9.89;16.99
2021/01/30;17.29;9.89;16.99
2021/01/31;17.29;16.79;16.99
2021/02/01;9.99;16.79;16.99
2021/02/02;9.99;16.79;16.99
2021/02/03;9.99;16.79;16.99
2021/02/05;9.99;16.79;16.99
2021/02/06;9.99;16.79;16.99
2021/02/07;17.29;16.79;16.99
2021/02/08;17.29;16.79;16.99
2021/02/10;17.29;16.79;16.99
2021/02/11;17.29;16.79;16.99
2021/02/12;17.29;16.79;16.99
2021/02/13;17.29;16.79;16.99
2021/02/14;17.29;9.99;16.99
2021/02/15;17.29;9.99;16.99
2021/02/16;17.29;9.99;16.99
2021/02/18;17.29;9.99;16.99
2021/02/19;17.29;9.99;16.99
2021/02/20;17.29;9.99;16.99
2021/02/22;10.99;16.79;16.99
2021/02/23;10.99;16.79;16.99
2021/02/25;10.99;16.79;16.99
2021/02/26;10.99;16.79;16.99
2021/03/02;17.29;16.79;16.99
2021/03/03;17.29;16.79;16.99
2021/03/04;17.29;16.79;16.99
2021/03/22;17.29;16.79;16.99
2021/05/26;17.29;nan;16.99
2021/05/27;17.29;nan;16.99
2021/05/28;17.29;9.99;16.99
2021/05/29;17.29;9.99;16.99
2021/05/30;17.29;16.79;16.99
2021/05/31;17.29;16.79;16.99
2021/06/02;17.29;16.79;16.99
2021/06/12;9.49;16.79;16.99
2021/06/16;17.29;16.79;16.99
2021/06/17;17.29;16.79;16.99
2021/06/18;17.29;16.79;16.99
2021/07/10;17.29;16.79;16.99
2021/07/11;17.29;12.59;16.99
2021/07/12;17.29;12.59;16.99
2021/07/15;17.29;12.59;16.99
2021/07/16;17.29;12.59;16.99
2021/07/25;12.99;16.79;16.99
2021/07/26;17.29;16.79;16.99
2021/07/27;17.29;16.79;16.99
2021/07/28;17.29;16.79;16.99
2021/07/29;17.29;16.79;16.99
2021/07/30;17.29;16.79;16.99
2021/07/31;17.29;16.79;16.99
2021/12/30;12.97;15.99;16.99
2021/12/31;12.97;15.99;16.99
2022/01/01;12.97;15.99;16.99
2022/01/03;17.69;15.99;16.99
2022/01/04;17.69;15.99;16.99
2022/01/05;17.69;15.99;16.99
2022/01/06;17.69;15.99;16.99
2022/01/07;17.69;15.99;17.39
2022/01/08;17.69;15.99;17.39
2022/01/09;17.69;15.99;17.39
2022/01/10;13.27;15.99;17.39
2022/01/11;13.27;16.69;17.39
2022/01/12;13.27;16.69;17.39
2022/01/13;13.27;16.69;17.39
2022/01/14;13.27;nan;17.39
2022/01/15;13.27;16.69;17.39
2022/01/16;13.27;12.517500000000002;17.39
2022/01/17;17.69;12.517500000000002;17.39
2022/01/18;17.69;12.517500000000002;17.39
2022/01/19;17.69;12.517500000000002;17.39
2022/01/22;17.69;12.517500000000002;17.39
2022/01/23;17.69;16.99;17.39
2022/01/24;17.69;16.99;17.39
2022/01/25;17.69;16.99;17.39
2022/01/26;17.69;16.99;17.39
2022/01/27;17.69;16.99;17.39
2022/01/28;17.69;16.99;17.39
2022/01/29;17.69;16.99;17.39
2022/01/30;17.69;16.99;17.39
2022/01/31;13.27;16.99;17.39
2022/02/01;13.27;16.99;17.39
2022/02/02;13.27;16.99;17.69
2022/02/03;13.27;16.99;17.69
2022/02/04;13.27;16.99;17.69
2022/02/05;13.27;16.99;17.69
2022/02/06;13.27;12.7425;17.69
2022/02/07;17.69;12.7425;17.69
2022/02/08;17.69;12.7425;17.69
2022/02/09;17.69;12.7425;17.69
2022/02/10;17.69;12.7425;17.69
2022/02/11;17.69;12.7425;17.69
2022/02/12;17.69;12.7425;17.69
2022/02/16;13.27;16.99;17.69
2022/02/17;13.27;16.99;17.69
2022/02/18;13.27;16.99;17.69
2022/02/19;13.27;16.99;17.69
2022/02/20;13.27;12.7425;17.69
2022/02/21;17.69;12.7425;17.69
2022/02/22;17.69;12.7425;17.69
2022/02/23;17.69;12.7425;17.69
2022/02/24;17.69;12.7425;17.69
2022/02/25;17.69;12.7425;17.39
2022/02/26;17.69;12.7425;17.39
2022/02/27;17.69;16.99;17.39
2022/02/28;17.69;16.99;17.39
2022/03/01;17.69;16.99;17.39
2022/03/02;17.69;16.99;17.39
2022/03/03;17.69;16.99;17.39
2022/03/04;17.69;16.99;17.39
2022/03/05;17.69;16.99;17.39
2022/03/06;17.69;16.99;17.39
2022/03/07;13.27;16.99;17.39
2022/03/08;13.27;16.99;17.39
2022/03/09;13.27;16.99;17.39
2022/03/10;13.27;16.99;17.39
2022/03/11;13.27;16.99;17.39
2022/03/12;13.27;16.99;17.39
2022/03/13;13.27;16.99;17.39
2022/03/14;17.69;16.99;17.39
2022/03/15;17.69;16.99;17.39
2022/03/16;17.69;12.7425;17.39
2022/03/17;17.69;12.7425;17.39
2022/03/18;17.69;12.7425;17.39
2022/03/19;17.69;12.7425;17.39
2022/03/21;13.27;12.7425;17.39
2022/03/22;13.27;12.7425;17.39
2022/03/23;13.27;16.99;17.39
2022/03/24;13.27;16.99;17.39
2022/03/25;13.27;16.99;17.39
2022/03/26;13.27;16.99;17.39
2022/03/27;13.27;16.99;17.39
2022/03/28;17.69;16.99;17.39
2022/03/29;17.69;16.99;17.39
2022/03/31;17.69;16.99;17.39
2022/04/01;17.69;16.99;17.39
2022/04/03;17.69;16.99;17.39
2022/04/04;17.69;16.99;17.39
2022/04/05;17.69;16.99;17.39
2022/04/06;17.69;12.7425;17.39
2022/04/07;17.69;12.7425;17.39
2022/04/08;17.69;12.7425;17.39
2022/04/09;17.69;12.7425;17.39
2022/04/10;17.69;12.7425;17.39
2022/04/11;13.27;12.7425;17.39
2022/04/12;13.27;12.7425;17.39
2022/04/13;13.27;16.99;17.39
2022/04/14;13.27;16.99;17.39
2022/04/15;13.27;16.99;17.39
2022/04/16;13.27;16.99;17.39
2022/04/17;13.27;16.99;17.39
2022/04/18;13.27;16.99;17.39
2022/04/19;17.69;16.99;17.39
2022/04/20;17.69;12.7425;17.39
2022/04/21;17.69;12.7425;17.39
2022/04/22;17.69;12.7425;17.39
2022/04/23;17.69;12.7425;17.39
2022/04/24;17.69;12.7425;17.39
2022/04/25;13.27;12.7425;17.39
2022/04/26;13.27;12.7425;17.39
2022/04/27;13.27;12.7425;17.39
2022/04/28;13.27;12.74;17.39
2022/04/29;13.27;16.99;17.39
2022/04/30;13.27;16.99;17.39
2022/05/01;13.27;16.99;17.39
2022/05/02;17.69;16.99;17.39
2022/05/03;17.69;16.99;17.39
2022/05/04;17.69;16.99;17.39
2022/05/05;17.69;16.99;17.39
2022/05/06;17.69;16.99;17.39
2022/05/07;17.69;16.99;17.39
2022/05/08;17.69;16.99;17.39
2022/05/09;17.69;16.99;17.39
2022/05/10;17.69;16.99;17.39
2022/05/11;17.69;12.7425;17.39
2022/05/12;17.69;12.7425;17.39
2022/05/13;17.69;12.7425;17.39
2022/05/14;17.69;12.7425;17.39
2022/05/15;17.69;12.7425;17.39
2022/05/16;13.59;12.7425;17.39
2022/05/17;13.59;12.7425;17.39
2022/05/18;13.59;16.99;17.39
2022/05/19;13.59;16.99;17.39
2022/05/20;13.59;16.99;17.39
2022/05/21;13.59;16.99;17.39
2022/05/22;17.69;16.99;17.39
2022/05/23;17.69;16.99;17.39
2022/05/24;17.69;16.99;17.39
2022/05/25;17.69;16.99;17.39
2022/05/26;17.69;16.99;17.39
2022/05/27;17.69;16.99;17.39
2022/05/28;17.69;16.99;17.39
2022/05/29;17.69;16.99;17.39
2022/05/30;13.27;16.99;17.39
2022/05/31;13.27;16.99;17.39
2022/06/01;13.27;12.7425;17.39
2022/06/02;13.27;12.7425;17.39
2022/06/03;13.27;12.7425;17.39
2022/06/04;13.27;12.7425;17.39
2022/06/05;13.27;12.7425;17.39
2022/06/06;13.27;12.7425;17.39
2022/06/07;17.69;12.7425;17.39
2022/06/08;17.32;16.99;17.39
2022/06/09;17.32;16.99;17.39
2022/06/10;17.32;16.99;17.39
2022/06/11;17.32;16.99;17.39
2022/06/12;17.32;16.99;17.39
2022/06/13;12.99;16.99;17.39
2022/06/19;12.99;16.99;17.29
2022/06/20;17.32;16.99;17.29
2022/06/21;17.32;16.99;17.29
2022/06/23;17.32;12.7425;17.29
2022/06/24;17.32;12.7425;17.29
2022/06/25;17.32;12.7425;17.29
2022/06/26;17.32;12.7425;17.29
2022/06/27;17.32;12.7425;17.29
2022/06/28;17.32;12.7425;17.29
2022/06/29;17.32;16.99;17.29
2022/06/30;17.32;16.99;17.29
2022/07/01;17.32;16.99;17.29
2022/07/02;17.32;16.99;17.29
2022/07/03;17.32;16.99;17.29
2022/07/04;12.99;16.99;17.29
2022/07/05;12.99;16.99;17.29
2022/07/06;12.99;16.99;17.29
2022/07/07;12.99;16.99;17.29
2022/07/08;12.99;16.99;17.29
2022/07/09;12.99;16.99;17.29
2022/07/10;12.99;16.99;17.29
2022/07/11;17.32;16.99;17.29
2022/07/12;17.32;16.99;17.15
2022/07/13;17.32;12.7425;17.15
2022/07/14;17.32;12.7425;17.15
2022/07/15;17.32;12.7425;17.15
2022/07/16;17.32;12.7425;17.15
2022/07/17;17.32;12.7425;17.15
2022/07/18;17.32;12.7425;17.15
2022/07/19;17.32;12.7425;17.15
2022/07/21;17.32;16.99;17.15
2022/07/22;17.32;16.99;17.05
2022/07/23;17.32;16.99;17.05
2022/07/24;17.32;16.99;17.05
2022/07/25;12.99;16.99;17.05
2022/07/26;12.99;16.99;17.05
2022/08/03;16.78;16.99;17.05
2023/02/04;19.98;13.987499999999999;19.78
2023/02/05;19.98;13.987499999999999;19.78
2023/02/06;14.98;13.987499999999999;19.78
2023/02/07;14.98;13.987499999999999;19.78
2023/02/08;14.98;18.65;19.78
2023/02/09;14.98;18.65;19.78
2023/02/10;14.98;18.65;19.78
2023/02/11;14.98;18.65;19.78
2023/02/12;14.98;18.65;19.78
2023/02/13;19.98;18.65;19.78
2023/02/14;19.98;18.65;19.78
2023/02/15;19.98;18.65;19.78
2023/02/16;19.98;18.65;19.78
2023/02/17;19.98;18.65;19.78
2023/02/18;19.98;18.65;19.78
2023/02/19;19.98;18.65;19.78
2023/02/20;19.98;18.65;19.78
2023/02/21;19.98;18.65;19.78
2023/02/22;19.98;13.987499999999999;19.78
2023/02/23;19.98;13.987499999999999;19.98
2023/02/24;19.98;13.987499999999999;19.98
2023/02/25;19.98;13.987499999999999;19.98
2023/02/26;19.98;13.987499999999999;19.98
2023/02/27;14.98;13.987499999999999;19.98
2023/02/28;14.98;13.987499999999999;19.98
2023/03/01;14.98;18.65;19.98
2023/03/02;14.98;18.65;19.98
2023/03/03;14.98;18.65;19.98
2023/03/04;14.98;18.65;19.98
2023/03/05;14.98;18.65;19.98
2023/03/06;19.98;18.65;19.98
2023/03/07;19.98;18.65;19.98
2023/03/08;19.98;18.65;19.98
2023/03/09;19.98;18.65;19.98
2023/03/10;19.98;18.65;19.98
2023/03/11;19.98;18.65;19.78
2023/03/12;19.98;18.65;19.78
2023/03/13;19.98;18.65;19.78
2023/03/14;19.98;18.65;19.78
2023/03/22;19.98;18.65;19.78
2023/03/29;14.98;18.65;19.78
2023/03/31;14.98;18.65;19.88
